---------------------------------------------
Cliente   Facilidade
---------------------------------------------
       1         7
       2         7
       3         2
       4        17
       5         1
       6        19
       7         1
       8        19
       9         6
      10        10
      11         6
      12        13
      13         8
      14        13
      15         8
      16         5
      17        17
      18         5
      19         2
      20        19
      21         1
      22        19
      23         1
      24        19
      25        10
      26         6
      27        10
      28         8
      29        13
      30         8
      31         7
      32         2
      33         7
      34         5
      35        17
      36         5
      37         6
      38        10
      39         6
      40        10
      41         6
      42        13
      43         8
      44        13
      45         8
      46         2
      47         7
      48         2
      49         5
      50        17
---------------------------------------------
Custo total (z): 581.270000 
